model,precision,recall,f1_score,roc_auc
Random Forest,0.8554913294797688,0.8457142857142858,0.8505747126436781,0.8427428571428571
Logistic Regression,0.8580645161290322,0.76,0.806060606060606,0.7961904761904761
Decision Tree,0.8805970149253731,0.6742857142857143,0.7637540453074434,0.7358857142857144
